TITLE, HOURS PLAYED, PERCENTAGE ACHIEVEMENTS, DATE LAST PLAYED
Left 4 Dead 2, 12.0, 0.0%, 2016-01-17
Counter-Strike 2, 13.8, 0.0%, 2016-01-17
The Ship, 5.6, N/A, 2015-07-02
Plants vs. Zombies: Game of the Year, 329.1, 57.1%, 2016-08-09
Psychonauts, 221.5, 67.6%, 2020-08-23
X-Blades, 9.7, N/A, 2015-08-04
Stubbs the Zombie in Rebel Without a Pulse, 36.0, 22.9%, 2024-02-08
BioShock Infinite, 10.2, 0.0%, 2016-02-01
Oddworld: Munch's Oddysee, 20.4, 0.0%, 2016-07-31
Luxor 3, 12.3, N/A, 2020-08-01
Dragon Age: Origins, 6.2, N/A, 2021-01-08
On the Rain-Slick Precipice of Darkness: Episode One, 26.4, 83.3%, 2015-03-06
On the Rain-Slick Precipice of Darkness: Episode Two, 18.3, 91.7%, 2011-06-06
Crazy Machines 2, 8.1, N/A, 2015-07-10
The Witcher: Enhanced Edition, 6.8, N/A, 2015-03-05
Resident Evil 5, 11.2, 0.0%, 2020-12-19
Overgrowth, 5.6, N/A, 2020-12-19
SEGA Mega Drive & Genesis Classics, 21.8, 4.0%, 2024-05-04
Super Meat Boy, 7.6, 2.1%, 2023-12-14
Magicka, 6.3, 3.4%, 2023-01-16
Clickr, 10.9, 0.0%, 2015-09-24
Dragon Age: Origins - Ultimate Edition, 6.0, N/A, 2023-05-17
Shank 2, 5.5, 5.0%, 2020-01-20
Age of Empires® III (2007), 5.5, N/A, 2019-10-03
Bastion, 6.2, 12.5%, 2016-06-29
Cthulhu Saves the World , 11.0, N/A, 2015-07-11
Alan Wake, 5.2, 3.0%, 2020-12-19
Blocks That Matter, 52.2, 68.8%, 2020-12-19
The Binding of Isaac, 7.0, 3.0%, 2016-09-27
Owlboy, 7.0, 16.7%, 2018-05-29
Cave Story+, 21.6, 36.8%, 2024-01-22
Galcon Legends, 8.2, 16.7%, 2015-07-16
Orcs Must Die! 2, 5.1, 3.7%, 2016-09-09
Awesomenauts, 7.7, 3.4%, 2016-01-29
Castle Crashers, 40.9, 33.3%, 2024-02-24
Call of Juarez Gunslinger, 28.9, 0.0%, 2016-02-04
Infested Planet, 8.0, 2.8%, 2017-09-11
Tales from Space: Mutant Blobs Attack, 11.2, 42.9%, 2016-02-12
The Walking Dead, 5.6, 8.3%, 2016-08-14
Sacred Citadel, 11.9, 20.0%, 2016-05-16
Apotheon, 5.5, 3.3%, 2016-05-10
Guns of Icarus Online, 7.7, 0.1%, 2015-07-18
Cortex Command, 7.9, 18.2%, 2017-09-11
Battle vs Chess, 7.4, N/A, 2018-10-18
Mark of the Ninja, 6.0, 10.5%, 2016-06-25
Guacamelee! Gold Edition, 34.2, 51.7%, 2014-03-25
GameMaker: Studio, 31.0, 29.2%, 2016-09-07
Painkiller Hell & Damnation, 38.6, 0.0%, 2015-09-30
Secret World Legends, 10.5, N/A, 2016-12-01
Demonicon, 5.5, 2.0%, 2018-12-17
Go Home Dinosaurs!, 27.4, 0.0%, 2015-09-30
Don't Starve, 48.7, N/A, 2024-06-15
Grim Dawn, 15.9, 0.0%, 2019-03-21
